"Apache Hadoop MapReduce";"git://git.apache.org/hadoop-mapreduce.git";"hadoop-mapreduce.git"
"Apache Hama";"git://git.apache.org/hama.git";"hama.git"
"Apache Harmony";"git://git.apache.org/harmony.git";"harmony.git"
"Apache Hadoop HBase";"git://git.apache.org/hbase.git";"hbase.git"
"Apache HCatalog";"git://git.apache.org/hcatalog.git";"hcatalog.git"
"Apache Hive";"git://git.apache.org/hive.git";"hive.git"
"Apache HttpComponents HttpAsyncClient";"git://git.apache.org/httpasyncclient.git";"httpasyncclient.git"
"Apache HttpClient";"git://git.apache.org/httpclient.git";"httpclient.git"
"Apache HttpCore";"git://git.apache.org/httpcore.git";"httpcore.git"
"Apache HTTPD Docs Build";"git://git.apache.org/httpd-docs-build.git";"httpd-docs-build.git"
"Apache HTTP Server";"git://git.apache.org/httpd.git";"httpd.git"
"Apache Cordova Android";"git://git.apache.org/incubator-cordova-android.git";"incubator-cordova-android.git"
"Apache Cordova bada";"git://git.apache.org/incubator-cordova-bada.git";"incubator-cordova-bada.git"
"Apache Cordova blackberry-webworks";"git://git.apache.org/incubator-cordova-blackberry-webworks.git";"incubator-cordova-blackberry-webworks.git"
"Apache Cordova docs";"git://git.apache.org/incubator-cordova-docs.git";"incubator-cordova-docs.git"
"Apache Cordova iOS";"git://git.apache.org/incubator-cordova-ios.git";"incubator-cordova-ios.git"
"Apache Cordova js";"git://git.apache.org/incubator-cordova-js.git";"incubator-cordova-js.git"
"Apache Cordova mac";"git://git.apache.org/incubator-cordova-mac.git";"incubator-cordova-mac.git"
"Apache Cordova mobile-spec";"git://git.apache.org/incubator-cordova-mobile-spec.git";"incubator-cordova-mobile-spec.git"
"Apache Cordova Qt";"git://git.apache.org/incubator-cordova-qt.git";"incubator-cordova-qt.git"
"Apache Cordova webos";"git://git.apache.org/incubator-cordova-webos.git";"incubator-cordova-webos.git"
"Apache Weinre";"git://git.apache.org/incubator-cordova-weinre.git";"incubator-cordova-weinre.git"
"Apache Cordova wp7";"git://git.apache.org/incubator-cordova-wp7.git";"incubator-cordova-wp7.git"
"Apache DeltaSpike";"git://git.apache.org/incubator-deltaspike.git";"incubator-deltaspike.git"
"Apache S4";"git://git.apache.org/incubator-s4.git";"incubator-s4.git"
"Apache Ivy";"git://git.apache.org/ivy.git";"ivy.git"
"Apache IvyDE";"git://git.apache.org/ivyde.git";"ivyde.git"
"Apache Jackrabbit Oak";"git://git.apache.org/jackrabbit-oak.git";"jackrabbit-oak.git"
"Apache Jackrabbit";"git://git.apache.org/jackrabbit.git";"jackrabbit.git"
"Apache James IMAP";"git://git.apache.org/james-imap.git";"james-imap.git"
"Apache James jSPF";"git://git.apache.org/james-jspf.git";"james-jspf.git"
"Apache James Mailbox";"git://git.apache.org/james-mailbox.git";"james-mailbox.git"
"Apache James Mime4j";"git://git.apache.org/james-mime4j.git";"james-mime4j.git"
"Apache James protocols";"git://git.apache.org/james-protocols.git";"james-protocols.git"
"Apache James";"git://git.apache.org/james.git";"james.git"
"Apache Jena - ARQ (Incubating)";"git://git.apache.org/jena-arq.git";"jena-arq.git"
"Apache Jena - core (Incubating)";"git://git.apache.org/jena-core.git";"jena-core.git"
"Apache Jena - Eyeball (Incubating)";"git://git.apache.org/jena-eyeball.git";"jena-eyeball.git"
"Apache Jena - Fuseki (Incubating)";"git://git.apache.org/jena-fuseki.git";"jena-fuseki.git"
"Apache Jena - IRI (Incubating)";"git://git.apache.org/jena-iri.git";"jena-iri.git"
"Apache Jena - JenaTop (Incubating)";"git://git.apache.org/jena-jenatop.git";"jena-jenatop.git"
"Apache Jena - Joseki (Incubating)";"git://git.apache.org/jena-joseki.git";"jena-joseki.git"
"Apache Jena - LARQ (Incubating)";"git://git.apache.org/jena-larq.git";"jena-larq.git"
"Apache Jena - SDB (Incubating)";"git://git.apache.org/jena-sdb.git";"jena-sdb.git"
"Apache Jena - Site (Incubating)";"git://git.apache.org/jena-site.git";"jena-site.git"
"Apache Jena - TDB (Incubating)";"git://git.apache.org/jena-tdb.git";"jena-tdb.git"
"Apache JMeter";"git://git.apache.org/jmeter.git";"jmeter.git"
"Apache JSPWiki (incubating)";"git://git.apache.org/jspwiki.git";"jspwiki.git"
"Apache Kafka";"git://git.apache.org/kafka.git";"kafka.git"
"Apache Kalument (Incubating)";"git://git.apache.org/kalumet.git";"kalumet.git"
"Apache Kandula";"git://git.apache.org/kandula.git";"kandula.git"
"Apache Karaf Cellar";"git://git.apache.org/karaf-cellar.git";"karaf-cellar.git"
"Apache Karaf Site";"git://git.apache.org/karaf-site.git";"karaf-site.git"
"Apache Karaf";"git://git.apache.org/karaf.git";"karaf.git"
"Apache Oak";"git://git.apache.org/labs-oak.git";"labs-oak.git"
"Apache Lenya";"git://git.apache.org/lenya.git";"lenya.git"
"Apache libcloud (incubating)";"git://git.apache.org/libcloud.git";"libcloud.git"
"Apache log4cxx";"git://git.apache.org/log4cxx.git";"log4cxx.git"
"Apache log4j component";"git://git.apache.org/log4j-component.git";"log4j-component.git"
"Apache log4j extras";"git://git.apache.org/log4j-extras.git";"log4j-extras.git"
